primary_type,beat,year,count,direction,lambda
CRIMINAL DAMAGE,2432,2014,36,high,0
GAMBLING,2422,2012,2,high,0
LIQUOR LAW VIOLATION,1613,2002,1,high,0
CRIMINAL DAMAGE,1614,2005,25,high,0
NARCOTICS,2424,2002,68,high,0
NARCOTICS,2422,2004,112,high,0
ARSON,2431,2013,1,high,0
BURGLARY,2423,2008,64,high,0
CRIMINAL DAMAGE,2431,2004,199,high,0
CRIMINAL DAMAGE,2423,2014,33,high,0
