query,regression,rest,total,algo,num_attribute
0.382763862609864,0.592313051223755,0.253804206848141,1.22888112068176,cube,4
1.7897469997406,2.27990436553955,0.824892997741704,4.89454436302185,cube,5
5.47814273834229,5.21217966079712,2.30396413803099,12.9942865371704,cube,6
61.9916350841523,73.1976208686829,18.8049187660218,153.994174718857,cube,7
190.917668581009,202.836932897568,36.1300034523015,429.884604930878,cube,8
532.388618707657,497.113470077515,114.710523128508,1144.21261191368,cube,9
1326.67860865593,1024.31430912018,270.944831609721,2621.93774938583,cube,10
3828.70446562767,2687.52696752548,623.164649963378,7139.39608311653,cube,11
0.223952293395996,0.59773325920105,0.306423187255864,1.12810873985291,1Q1G,4
0.764630794525147,2.27051162719727,0.978070735931393,4.01321315765381,1Q1G,5
1.97490262985229,5.21082162857056,2.35654282569885,9.5422670841217,1Q1G,6
17.2606706619262,73.0445351600647,10.8994221687321,101.204627990723,1Q1G,7
38.315575838089,201.781418085098,21.597281694412,261.694275617599,1Q1G,8
81.2607579231262,493.489395618439,40.0391042232508,614.789257764816,1Q1G,9
151.112419605255,1013.36962842941,66.5922906398854,1231.07433867455,1Q1G,10
326.387892007828,2660.5303068161,127.208945751192,3114.12714457512,1Q1G,11
0.177509069442749,0.590817451477051,0.28945231437683,1.05777883529663,ARP-mine,4
0.529852628707886,2.27321410179138,0.869397640228274,3.67246437072754,ARP-mine,5
1.11478209495544,5.20309281349182,2.03081727027893,8.3486921787262,ARP-mine,6
8.62637829780578,72.89550614357,8.44764995574942,89.9695343971252,ARP-mine,7
18.9550015926361,201.720170497894,16.5735378265379,237.248709917068,ARP-mine,8
39.5126237869263,493.363406419754,30.2473182678227,563.123348474503,ARP-mine,9
72.5299582481384,1013.29017663002,50.0208964347816,1135.84103131294,ARP-mine,10
154.171935796738,2659.83769750595,94.5623834133118,2908.572016716,ARP-mine,11
817.876953601837,2.96238255500793,2.11087560653698,822.950211763382,naive,4
2217.70329809189,8.06085896492004,5.72651314735003,2231.49067020416,naive,5
4753.31148695946,17.0130176544189,12.1881833076413,4782.51268792152,naive,6
16373.7035577297,2283.85275101662,41.663849115379,18699.2201578617,naive,7
